# index  number of sampling vertical levels i j
615 18 3950 688
# k value
1 0.138137
2 0.133337
3 0.122083
4 0.106591
5 0.0915784
6 0.0842603
9 0.0852677
20 0.0853282
30 0.0847092
40 0.0850774
50 0.0849492
55 0.0856784
60 0.0846427
61 0.084094
62 0.0865166
63 0.0919265
64 0.106591
65 0.122083
# now the complete profile with fillled values
1 0.138137
2 0.133337
3 0.122083
4 0.106591
5 0.0915784
6 0.0842603
7 0.0845961
8 0.0849319
9 0.0852677
10 0.0852732
11 0.0852787
12 0.0852842
13 0.0852897
14 0.0852952
15 0.0853007
16 0.0853062
17 0.0853117
18 0.0853172
19 0.0853227
20 0.0853282
21 0.0852663
22 0.0852044
23 0.0851425
24 0.0850806
25 0.0850187
26 0.0849568
27 0.0848949
28 0.084833
29 0.0847711
30 0.0847092
31 0.084746
32 0.0847829
33 0.0848197
34 0.0848565
35 0.0848933
36 0.0849301
37 0.0849669
38 0.0850038
39 0.0850406
40 0.0850774
41 0.0850646
42 0.0850518
43 0.0850389
44 0.0850261
45 0.0850133
46 0.0850005
47 0.0849877
48 0.0849749
49 0.084962
50 0.0849492
51 0.0850951
52 0.0852409
53 0.0853867
54 0.0855325
55 0.0856784
56 0.0854712
57 0.0852641
58 0.085057
59 0.0848498
60 0.0846427
61 0.084094
62 0.0865166
63 0.0919265
64 0.106591
65 0.122083
