# index  number of sampling vertical levels i j
1442 18 3230 2050
# k value
1 1.83259
2 1.76891
3 1.6196
4 1.41408
5 1.21492
6 1.11783
9 1.1312
20 1.132
30 1.12379
40 1.12867
50 1.12697
55 1.13665
60 1.12291
61 1.11563
62 1.14777
63 1.21954
64 1.41408
65 1.6196
# now the complete profile with fillled values
1 1.83259
2 1.76891
3 1.6196
4 1.41408
5 1.21492
6 1.11783
7 1.12229
8 1.12674
9 1.1312
10 1.13127
11 1.13134
12 1.13142
13 1.13149
14 1.13156
15 1.13164
16 1.13171
17 1.13178
18 1.13185
19 1.13193
20 1.132
21 1.13118
22 1.13036
23 1.12954
24 1.12872
25 1.12789
26 1.12707
27 1.12625
28 1.12543
29 1.12461
30 1.12379
31 1.12428
32 1.12477
33 1.12525
34 1.12574
35 1.12623
36 1.12672
37 1.12721
38 1.1277
39 1.12818
40 1.12867
41 1.1285
42 1.12833
43 1.12816
44 1.12799
45 1.12782
46 1.12765
47 1.12748
48 1.12731
49 1.12714
50 1.12697
51 1.12891
52 1.13084
53 1.13278
54 1.13471
55 1.13665
56 1.1339
57 1.13115
58 1.1284
59 1.12565
60 1.12291
61 1.11563
62 1.14777
63 1.21954
64 1.41408
65 1.6196
