# index  number of sampling vertical levels i j
496 18 1012 667
# k value
1 0.642733
2 0.620398
3 0.568033
4 0.495952
5 0.426101
6 0.39205
9 0.396738
20 0.397019
30 0.394139
40 0.395852
50 0.395256
55 0.398648
60 0.39383
61 0.391276
62 0.402549
63 0.42772
64 0.495952
65 0.568033
# now the complete profile with fillled values
1 0.642733
2 0.620398
3 0.568033
4 0.495952
5 0.426101
6 0.39205
7 0.393613
8 0.395175
9 0.396738
10 0.396763
11 0.396789
12 0.396814
13 0.39684
14 0.396866
15 0.396891
16 0.396917
17 0.396942
18 0.396968
19 0.396994
20 0.397019
21 0.396731
22 0.396443
23 0.396155
24 0.395867
25 0.395579
26 0.395291
27 0.395003
28 0.394715
29 0.394427
30 0.394139
31 0.39431
32 0.394482
33 0.394653
34 0.394824
35 0.394996
36 0.395167
37 0.395338
38 0.39551
39 0.395681
40 0.395852
41 0.395793
42 0.395733
43 0.395673
44 0.395614
45 0.395554
46 0.395494
47 0.395435
48 0.395375
49 0.395316
50 0.395256
51 0.395934
52 0.396613
53 0.397291
54 0.39797
55 0.398648
56 0.397685
57 0.396721
58 0.395757
59 0.394793
60 0.39383
61 0.391276
62 0.402549
63 0.42772
64 0.495952
65 0.568033
