# index  number of sampling vertical levels i j
1025 18 1086 1447
# k value
1 0.664692
2 0.641594
3 0.58744
4 0.512897
5 0.440658
6 0.405445
9 0.410292
20 0.410583
30 0.407605
40 0.409377
50 0.40876
55 0.412268
60 0.407285
61 0.404645
62 0.416302
63 0.442333
64 0.512897
65 0.58744
# now the complete profile with fillled values
1 0.664692
2 0.641594
3 0.58744
4 0.512897
5 0.440658
6 0.405445
7 0.407061
8 0.408676
9 0.410292
10 0.410319
11 0.410345
12 0.410372
13 0.410398
14 0.410425
15 0.410451
16 0.410477
17 0.410504
18 0.41053
19 0.410557
20 0.410583
21 0.410286
22 0.409988
23 0.40969
24 0.409392
25 0.409094
26 0.408796
27 0.408498
28 0.408201
29 0.407903
30 0.407605
31 0.407782
32 0.407959
33 0.408136
34 0.408314
35 0.408491
36 0.408668
37 0.408845
38 0.409022
39 0.409199
40 0.409377
41 0.409315
42 0.409253
43 0.409192
44 0.40913
45 0.409068
46 0.409007
47 0.408945
48 0.408883
49 0.408822
50 0.40876
51 0.409462
52 0.410163
53 0.410865
54 0.411567
55 0.412268
56 0.411272
57 0.410275
58 0.409278
59 0.408282
60 0.407285
61 0.404645
62 0.416302
63 0.442333
64 0.512897
65 0.58744
