# index  number of sampling vertical levels i j
1012 18 1 1468
# k value
1 1.00388
2 1.00388
3 1.00388
4 1.00388
5 1.00388
6 1.00388
9 1.00388
20 1.00388
30 1.00388
40 1.00388
50 1.00388
55 1.00388
60 1.00388
61 1.00388
62 1.00388
63 1.00388
64 1.00388
65 1.00388
# now the complete profile with fillled values
1 1.00388
2 1.00388
3 1.00388
4 1.00388
5 1.00388
6 1.00388
7 1.00388
8 1.00388
9 1.00388
10 1.00388
11 1.00388
12 1.00388
13 1.00388
14 1.00388
15 1.00388
16 1.00388
17 1.00388
18 1.00388
19 1.00388
20 1.00388
21 1.00388
22 1.00388
23 1.00388
24 1.00388
25 1.00388
26 1.00388
27 1.00388
28 1.00388
29 1.00388
30 1.00388
31 1.00388
32 1.00388
33 1.00388
34 1.00388
35 1.00388
36 1.00388
37 1.00388
38 1.00388
39 1.00388
40 1.00388
41 1.00388
42 1.00388
43 1.00388
44 1.00388
45 1.00388
46 1.00388
47 1.00388
48 1.00388
49 1.00388
50 1.00388
51 1.00388
52 1.00388
53 1.00388
54 1.00388
55 1.00388
56 1.00388
57 1.00388
58 1.00388
59 1.00388
60 1.00388
61 1.00388
62 1.00388
63 1.00388
64 1.00388
65 1.00388
